row_index,user_id,claim_object,row_exact_match,mismatched_fields,mismatch_detail,claim_extraction_confidence,image_ids
10,user_011,laptop,False,claim_status;evidence_standard_met;issue_type;object_part;severity;risk_flags;supporting_image_ids,"{""claim_status"": {""expected"": ""supported"", ""predicted"": ""not_enough_information""}, ""evidence_standard_met"": {""expected"": true, ""predicted"": false}, ""issue_type"": {""expected"": ""stain"", ""predicted"": ""unknown""}, ""object_part"": {""expected"": ""keyboard"", ""predicted"": ""unknown""}, ""severity"": {""expected"": ""medium"", ""predicted"": ""unknown""}, ""risk_flags"": {""expected"": [], ""predicted"": [""damage_not_visible"", ""manual_review_required""], ""jaccard"": 0.0}, ""supporting_image_ids"": {""expected"": [""img_1""], ""predicted"": [], ""jaccard"": 0.0}}",low,img_1
11,user_012,laptop,False,claim_status;evidence_standard_met;issue_type;object_part;severity;risk_flags;supporting_image_ids,"{""claim_status"": {""expected"": ""supported"", ""predicted"": ""not_enough_information""}, ""evidence_standard_met"": {""expected"": true, ""predicted"": false}, ""issue_type"": {""expected"": ""dent"", ""predicted"": ""unknown""}, ""object_part"": {""expected"": ""corner"", ""predicted"": ""unknown""}, ""severity"": {""expected"": ""low"", ""predicted"": ""unknown""}, ""risk_flags"": {""expected"": [], ""predicted"": [""damage_not_visible"", ""manual_review_required""], ""jaccard"": 0.0}, ""supporting_image_ids"": {""expected"": [""img_2""], ""predicted"": [], ""jaccard"": 0.0}}",low,img_1;img_2
12,user_018,laptop,False,claim_status;evidence_standard_met;issue_type;object_part;severity;risk_flags;supporting_image_ids,"{""claim_status"": {""expected"": ""supported"", ""predicted"": ""not_enough_information""}, ""evidence_standard_met"": {""expected"": true, ""predicted"": false}, ""issue_type"": {""expected"": ""crack"", ""predicted"": ""unknown""}, ""object_part"": {""expected"": ""screen"", ""predicted"": ""unknown""}, ""severity"": {""expected"": ""medium"", ""predicted"": ""unknown""}, ""risk_flags"": {""expected"": [], ""predicted"": [""damage_not_visible"", ""manual_review_required""], ""jaccard"": 0.0}, ""supporting_image_ids"": {""expected"": [""img_1""], ""predicted"": [], ""jaccard"": 0.0}}",low,img_1
13,user_020,laptop,False,claim_status;evidence_standard_met;issue_type;object_part;severity;supporting_image_ids,"{""claim_status"": {""expected"": ""contradicted"", ""predicted"": ""not_enough_information""}, ""evidence_standard_met"": {""expected"": true, ""predicted"": false}, ""issue_type"": {""expected"": ""none"", ""predicted"": ""unknown""}, ""object_part"": {""expected"": ""trackpad"", ""predicted"": ""unknown""}, ""severity"": {""expected"": ""none"", ""predicted"": ""unknown""}, ""supporting_image_ids"": {""expected"": [""img_1""], ""predicted"": [], ""jaccard"": 0.0}}",low,img_1
14,user_015,package,False,claim_status;evidence_standard_met;issue_type;object_part;severity;risk_flags;supporting_image_ids,"{""claim_status"": {""expected"": ""supported"", ""predicted"": ""not_enough_information""}, ""evidence_standard_met"": {""expected"": true, ""predicted"": false}, ""issue_type"": {""expected"": ""crushed_packaging"", ""predicted"": ""unknown""}, ""object_part"": {""expected"": ""package_corner"", ""predicted"": ""unknown""}, ""severity"": {""expected"": ""medium"", ""predicted"": ""unknown""}, ""risk_flags"": {""expected"": [], ""predicted"": [""damage_not_visible"", ""manual_review_required""], ""jaccard"": 0.0}, ""supporting_image_ids"": {""expected"": [""img_1""], ""predicted"": [], ""jaccard"": 0.0}}",low,img_1
15,user_030,package,False,claim_status;evidence_standard_met;issue_type;object_part;severity;risk_flags;supporting_image_ids,"{""claim_status"": {""expected"": ""supported"", ""predicted"": ""not_enough_information""}, ""evidence_standard_met"": {""expected"": true, ""predicted"": false}, ""issue_type"": {""expected"": ""torn_packaging"", ""predicted"": ""unknown""}, ""object_part"": {""expected"": ""seal"", ""predicted"": ""unknown""}, ""severity"": {""expected"": ""medium"", ""predicted"": ""unknown""}, ""risk_flags"": {""expected"": [], ""predicted"": [""damage_not_visible"", ""manual_review_required""], ""jaccard"": 0.0}, ""supporting_image_ids"": {""expected"": [""img_1""], ""predicted"": [], ""jaccard"": 0.0}}",low,img_1;img_2
16,user_031,package,False,claim_status;evidence_standard_met;issue_type;object_part;severity;risk_flags;supporting_image_ids,"{""claim_status"": {""expected"": ""supported"", ""predicted"": ""not_enough_information""}, ""evidence_standard_met"": {""expected"": true, ""predicted"": false}, ""issue_type"": {""expected"": ""water_damage"", ""predicted"": ""unknown""}, ""object_part"": {""expected"": ""package_side"", ""predicted"": ""unknown""}, ""severity"": {""expected"": ""medium"", ""predicted"": ""unknown""}, ""risk_flags"": {""expected"": [""manual_review_required"", ""user_history_risk""], ""predicted"": [""damage_not_visible"", ""manual_review_required"", ""user_history_risk""], ""jaccard"": 0.67}, ""supporting_image_ids"": {""expected"": [""img_1""], ""predicted"": [], ""jaccard"": 0.0}}",low,img_1
17,user_032,package,False,valid_image;object_part;risk_flags,"{""valid_image"": {""expected"": false, ""predicted"": true}, ""object_part"": {""expected"": ""contents"", ""predicted"": ""unknown""}, ""risk_flags"": {""expected"": [""cropped_or_obstructed"", ""damage_not_visible"", ""manual_review_required""], ""predicted"": [""damage_not_visible"", ""manual_review_required"", ""user_history_risk""], ""jaccard"": 0.5}}",low,img_1;img_2
18,user_033,package,False,claim_status;evidence_standard_met;severity;risk_flags;supporting_image_ids,"{""claim_status"": {""expected"": ""contradicted"", ""predicted"": ""not_enough_information""}, ""evidence_standard_met"": {""expected"": true, ""predicted"": false}, ""severity"": {""expected"": ""low"", ""predicted"": ""unknown""}, ""risk_flags"": {""expected"": [""claim_mismatch"", ""manual_review_required"", ""user_history_risk"", ""wrong_object""], ""predicted"": [""damage_not_visible"", ""manual_review_required"", ""user_history_risk""], ""jaccard"": 0.4}, ""supporting_image_ids"": {""expected"": [""img_1""], ""predicted"": [], ""jaccard"": 0.0}}",low,img_1
19,user_034,package,False,claim_status;evidence_standard_met;issue_type;object_part;severity;risk_flags;supporting_image_ids,"{""claim_status"": {""expected"": ""contradicted"", ""predicted"": ""not_enough_information""}, ""evidence_standard_met"": {""expected"": true, ""predicted"": false}, ""issue_type"": {""expected"": ""none"", ""predicted"": ""unknown""}, ""object_part"": {""expected"": ""seal"", ""predicted"": ""unknown""}, ""severity"": {""expected"": ""none"", ""predicted"": ""unknown""}, ""risk_flags"": {""expected"": [""damage_not_visible"", ""manual_review_required"", ""text_instruction_present"", ""user_history_risk""], ""predicted"": [""damage_not_visible"", ""manual_review_required"", ""user_history_risk""], ""jaccard"": 0.75}, ""supporting_image_ids"": {""expected"": [""img_1"", ""img_2""], ""predicted"": [], ""jaccard"": 0.0}}",low,img_1;img_2
